tweet,label
"@JensenAckles 
😀HAPPY 14 !!!!!!!!!!!!!!!!!!👍👌✌✊👏 https://t.co/4hkTeYGnGN",1
Puppy sitting Rumi tonight! Great way to end a long weekend. 😀,1
RT @20KD18: Good Day Everyone 😀 May I ask a little help from you? Kindly like ❤️and retweet this video or trailer of a shortfilm that discu…,1
Habby Birzday @Pali_Mudda 🤓 thanks for sharing your lays chips and strawberry kiwi juice with me 😀,1
"RT @Rohandinho_: Barca, Real, Bayern, Man City semi-finals for me 👀😍😀
City-Liv promises to be a cracker; would take something special from…",1
RT @GROOVYYANNA: road trip anyone? 😀 https://t.co/0I3RvBoQuZ,1
"RT @hopesworld18: Vhope in their own world,again😀

#vhope https://t.co/WeMqRsFgdj",1
"Update: I just bought a pizza with breadsticks, cinnamon sticks, and cookies😀😀😀",1
"First Shiplett vacation of the year! 😀 ... and taking some time for myself. I need a breather, I think. Been feelin… https://t.co/CqpFaosegG",1
@ummmno21 Breakfast of champions 😀,1
"RT @hopesworld18: Vhope in their own world,again😀

#vhope https://t.co/WeMqRsFgdj",1
@LisaLGM1 You're welcome...😀,1
@qualmanEC Everly and I are here in it too! We loved it though 😀,1
"Oh m Ghee

 IT'S HUSTLE LEVEL 😲😲😲 

😅😄😃😁😊😀",1
"RT @THEMARISKASHOW: I bet you can't name a cuter couple 😀❤
#Petska https://t.co/IyMGdbqpJG",1
"RT @haniffhakiki: @haniffhakiki  
😀Smile, laugh, cheerful, and happy. 
Though lacking, poor, suffer, and backward🌝 https://t.co/v35cvuxb5W",1
@JeSuisRouge @zekesanscontext Hahahah idk i feel like it would be nice to let them know? Like why not right? Confidence booster na rin😀,1
... And then we got to feed them! 😀 https://t.co/w46IRDxC4s,1
RT @RonHutchcraft2: @smartgirls4gop Ted Cruz all day everyday! 😀👍,1
Hey @tacobell your nacho fries are purty good...😀🍟 #RAW,1
RT @sunshinehappier: @SarahSoWitty @GBerlanti @chipeyt @geoffjohns Made a little TV Iris edit with some comic quotes about comic Iris 😀 #Ir…,1
@RealDonad_Trump @Anna_Giaritelli @dcexaminer Oh I wanna date that! 😀 https://t.co/DCkhIiuSVF,1
@DMracing11 @kaseykahne That looks like a pool... maybe Kasey can confirm lol 😀,1
"😀🙉🤗 #Magazine #People : Shhhh! Emily Blunt and John Krasinski Are Trying to Tell Us Something | Pop Sugar, please c… https://t.co/VVI71wtXt9",1
"😀🙉🤗 #Magazine #People : Shhhh! Emily Blunt and John Krasinski Are Trying to Tell Us Something | Pop Sugar, please c… https://t.co/8wfNFIIdsf",1
"😀🙉🤗 #Magazine #People : Princess Charlotte s Royal Title Is Longer Than Your Target Receipt | Pop Sugar, please cli… https://t.co/M9DlV7oTzv",1
"😀🙉🤗 #Magazine #People : Princess Charlotte s Royal Title Is Longer Than Your Target Receipt | Pop Sugar, please cli… https://t.co/gjQyQumoKm",1
"😀🙉🤗 #Magazine #People : Shhhh! Emily Blunt and John Krasinski Are Trying to Tell Us Something | Pop Sugar, please c… https://t.co/2ZbKOpTFdc",1
"😀🙉🤗 #Magazine #People : Princess Charlotte s Royal Title Is Longer Than Your Target Receipt | Pop Sugar, please cli… https://t.co/I6BaxjSSXv",1
@castlekitten47 Thank you! 😀,1
"RT @ls_maiden0712: Still here..what ever name they changed into😀
💖
#ALDUBxPATMENG   👈let's get goin!🏃‍♀️💃🕺🏃‍♂️
@imcr8d4u 
@by_nahjie 
@joph…",1
"RT @TrudeauMacron: HOSTING A late night #FBRParty! #HappyEaster! 

😀Like
😄Retweet 
😊Comment
☺️Follow all who comment, like &amp; retweet
😘Post…",1
RT @PBBabscbn: Guys!!! Something BIG is happening sa APRIL!!!! Get ready!!!! 😀😀😀,1
"RT @anirudhofficial: Wishing team Mersal a blockbuster success 👍😀
@actorvijay @Atlee_dir @arrahman @AntonyLRuben @ThenandalFilms",1
@PenguinFan92 You say that now. 😀,1
"@BJRACINE21 Believe it or not, it's called ""The Chase Field Roof Song"".  😀",1
@cherokeegirl74 Very good😀🙌🏻 I thought I was motived and a person who cares and gives and take and always give cred… https://t.co/SF0xkTLI38,1
@Gingrich_of_PA @realMikeLindell So true 😀😀😀,1
@Jenn_nikolas It's so good. Just saw the latest episode 😀,1
@BobsFunGirl I wish she was here.  My load of towels just got done in the dryer. I could use someone to fold with me. 😀,1
"Colorado Sunshine’s got me like Ooooooh!😀😀😀 @ Denver, Colorado https://t.co/pF49uupQLA",1
RT @MarcusBeaubier: @sarahekite You're a kick ass kinda people. 😀,1
"Eyin meme lofas,check out the Meme Master himself...love this #dude's sense of humour always...😊😂😀😁😄😅😆😉 https://t.co/Y1TEs6LDSW",1
@dawnlovatt Ha ha im shutting down now 😀😀  xx,1
"Wow! 
I came online to hear dah my Mimi gossiped 😀😀😀
I've been looking forward to this day, m thereby giving u 80 more SMS votes 😍😍#BBNaija",1
RT @HuGO5t: Get fucking ready. See you next week! #LIFEJapan 😀 https://t.co/pF5CpuVBZn,1
@Rennessyyyy 😀😀😀😀😀 hahaha yeah girl I got him like 2 weeks now,1
RT @20KD18: Good Day Everyone 😀 May I ask a little help from you? Kindly like ❤️and retweet this video or trailer of a shortfilm that discu…,1
"@TonyAustin_10 This is awesome! (From James, age 7) 👏🏼👏🏼👏🏼👍🏼👍🏼👍🏼😁😀😃😄",1
"@Bloomberg says it's the Great Depression . . . 😀😁😂🤣😀😁😂🤣😀😁😂🤣😀😁😂🤣😀😁😂🤣😀😁😂🤣😀😁😂🤣 . . . wait . . . 😀😁😂🤣😀😁😂🤣😀😁🤣🤣😀😁🤣
. . .… https://t.co/1mFKhI7eVf",1
RT @JBaker31826004: I'm surprised how few followers @realMikeLindell founder of My Pillow has. Let's all give him a follow!!! 👍😀🇺🇸🤠 https:/…,1
"#MeltMeIn2Words
Homemade Brownies😋😀😍 https://t.co/AljA9wnOKR",1
@sarahekite You're a kick ass kinda people. 😀,1
RT @rmwiener: 😀😀😀😀= my face when i saw @bpnutrition was at my local grocery store https://t.co/Iq2jVwDmIL,1
RT @comedibanda: Pakistani version of Priya Warrier’s clip....!!!🏻😀😀 https://t.co/8nE0rNiQg1,1
"Second day @HiltonHotels four more days to go 😀 Nice gym and 🏊 at Warwick, RI",1
@rvgoblue Thanks! 😀,1
@OddNMacabre @buntingrobert40 I love that movie!!!! 😀,1
RT @Katy_Maca47: Welcome April 😀😍💞💕sky clouds sun sunset beauty 💛☀️ https://t.co/RNboHG1N5w,1
RT @ob_rachel: @GigiEdgley could I possibly please get a birthday tweet for the 5th April 😀,1
RT @NawalElZoghbi: Smile 😀and enjoy the weekend 🤗#nawalelzoghbi#weekend#pictureoftheday#jordan#behbo_ktir https://t.co/BvEUojYqY8,1
RT @esmuellert_: Let's fly to Sevilla! Happy easter 😀👍🏼 #esmuellert #FCB #ucl #fcbayern https://t.co/4zPWgsVgiw,1
@sue_squared #GearMeOut A6 We've not tried this but it sounds wonderful! 😀 We love hiking in the snow. And Mr NTF p… https://t.co/J2apX9iPKa,1
RT @officialmckell: Wonderful morning 😀😘 https://t.co/01iJPhiZ9f,1
RT @NamiYami: Yaay! This raffle ends on 1st April (next sunday!). Just RT to join 😀😀😀. 2 winners. https://t.co/SRizSaZSk4,1
Good night @MahoganyLOX 😀 I'm so curious to know in what you're working... 👀💛,1
RT @Chico3DSquirrel: It's a good day to be happy. 😀 https://t.co/5riBbCJSKe,1
@johnrich Yes smooth is right! On the rocks with a splash of water😀,1
@ved94514 Hmm right 👌👍😀😊😁😘😁,1
"@T_RackzSa said ""people will do you wrong but money will always be good to you"" 😀 https://t.co/HXGOPmJMIZ",1
@trumbullina Hey ur welcome 😀 I'm happy to hear that 😊😀,1
@Shipt Will do 😀,1
@kcookie818 @Atlius @WiseWarrior69 @karen3678 Just followed you! 😀 #TheResistance #FBRParty,1
RT @Petra_Kvitova: Jake has the best t-shirt 😀 https://t.co/n2Ck7XzQC7,1
"RT @BBNaijaUpdates: Shout out to Rico Swavey for this meme🤣😂😀
Let's spread this.. 
Just Retweet 
#BBNaija #BBNaijaUpdates https://t.co/C39D…",1
"RT @TrendsAlluArjun: 10K followers 🤗👍
Thanks To All 😍😀👍

#HBDAdorableAlluAyaan https://t.co/VzGn7xJLjr",1
@QanonWearables @prayingmedic Help me out - when did the 10 days start? I’m having withdrawals...😀,1
RT @axe_uu: I don't know 😀👇.. https://t.co/uq5OFhX3pg,1
RT @JBaker31826004: I'm surprised how few followers @realMikeLindell founder of My Pillow has. Let's all give him a follow!!! 👍😀🇺🇸🤠 https:/…,1
